".colorLevels",".ci",".y",".sids",".axisIndex","js0.Test Condition","js0.Supergroup",".ri",".colorHash",".xLevels",".nXLevels",".nValuesPerXLevel",".xSeqPerLevels",".xs",".ys",".y0s"
1,3,84.98226548939702,17439,0,"Control","Sgroup2",2,-571668846,5,6,1,0,60073,58239,65535
4,2,433.7710361482152,5236,0,"T02","Sgroup1",3,11286501,0,3,1,0,10922,35226,3640
4,2,440.0724473624632,1332,0,"T02","Sgroup1",3,11286501,1,3,1,0,32767,35684,3640
4,2,452.88657459814357,17460,0,"T02","Sgroup1",3,11286501,2,3,1,0,54612,36617,3640
1,3,387.49528337483963,54640,0,"Control","Sgroup2",3,-571668846,0,6,1,0,5461,31856,3640
1,3,416.28556335370916,1333,0,"Control","Sgroup2",3,-571668846,1,6,1,0,16384,33952,3640
1,3,418.9721530450532,50736,0,"Control","Sgroup2",3,-571668846,2,6,1,0,27306,34148,3640
1,3,463.248056750434,20848,0,"Control","Sgroup2",3,-571668846,3,6,1,0,38228,37372,3640
1,3,500.44524941513845,5237,0,"Control","Sgroup2",3,-571668846,4,6,1,0,49151,40080,3640
1,3,506.07501320655047,17461,0,"Control","Sgroup2",3,-571668846,5,6,1,0,60073,40490,3640
3,4,-30.684476643272205,20819,0,"T01","Sgroup2",0,-1197865617,0,3,1,0,10922,1808,4681
3,4,227.89223454833598,50707,0,"T01","Sgroup2",0,-1197865617,1,3,1,0,32767,26016,4681
3,4,231.99003848766128,54611,0,"T01","Sgroup2",0,-1197865617,2,3,1,0,54612,26399,4681
5,5,173.53407290015846,54614,0,"T02","Sgroup2",0,-1197865617,0,3,1,0,10922,20927,4681
5,5,204.15817674137799,50710,0,"T02","Sgroup2",0,-1197865617,1,3,1,0,32767,23794,4681
5,5,236.04256282544713,20822,0,"T02","Sgroup2",0,-1197865617,2,3,1,0,54612,26779,4681
3,4,-110.67089276281035,20825,0,"T01","Sgroup2",1,-1197865617,0,3,1,0,10922,1389,17872
3,4,-36.37461323673685,50713,0,"T01","Sgroup2",1,-1197865617,1,3,1,0,32767,12455,17872
3,4,-0.4527960153950645,54617,0,"T01","Sgroup2",1,-1197865617,2,3,1,0,54612,17805,17872
5,5,77.08852162100973,54620,0,"T02","Sgroup2",1,-1197865617,0,3,1,0,10922,29354,17872
5,5,104.27137574522678,50716,0,"T02","Sgroup2",1,-1197865617,1,3,1,0,32767,33403,17872
5,5,162.22926571579504,20828,0,"T02","Sgroup2",1,-1197865617,2,3,1,0,54612,42035,17872
3,4,40.41959097426609,20827,0,"T01","Sgroup2",2,-1197865617,0,3,1,0,10922,25790,65535
3,4,68.98347294543808,54619,0,"T01","Sgroup2",2,-1197865617,1,3,1,0,32767,46589,65535
3,4,81.61648177496038,50715,0,"T01","Sgroup2",2,-1197865617,2,3,1,0,54612,55788,65535
5,5,28.19409855859935,20830,0,"T02","Sgroup2",2,-1197865617,0,3,1,0,10922,16888,65535
5,5,30.178854426081053,50718,0,"T02","Sgroup2",2,-1197865617,1,3,1,0,32767,18334,65535
5,5,94.86076522526602,54622,0,"T02","Sgroup2",2,-1197865617,2,3,1,0,54612,65432,65535
3,4,-32.835257716398765,20849,0,"T01","Sgroup2",3,-1197865617,0,3,1,0,10922,1249,3640
3,4,236.97079465700705,50737,0,"T01","Sgroup2",3,-1197865617,1,3,1,0,32767,20895,3640
3,4,238.89517772243605,54641,0,"T01","Sgroup2",3,-1197865617,2,3,1,0,54612,21036,3640
5,5,312.75375443362765,54644,0,"T02","Sgroup2",3,-1197865617,0,3,1,0,10922,26414,3640
5,5,341.7326994189118,50740,0,"T02","Sgroup2",3,-1197865617,1,3,1,0,32767,28524,3640
5,5,425.349030261867,20852,0,"T02","Sgroup2",3,-1197865617,2,3,1,0,54612,34612,3640
0,0,156.22217191155386,17458,0,"Control","Sgroup1",4,2081445078,0,6,1,0,5461,35964,65535
0,0,235.95200362236812,20855,0,"Control","Sgroup1",4,2081445078,1,6,1,0,16384,58681,65535
0,0,244.94000452796016,1330,0,"Control","Sgroup1",4,2081445078,2,6,1,0,27306,61242,65535
0,0,245.5437325484869,5234,0,"Control","Sgroup1",4,2081445078,3,6,1,0,38228,61414,65535
0,0,252.87148139763036,50743,0,"Control","Sgroup1",4,2081445078,4,6,1,0,49151,63502,65535
0,0,254.6524790581843,54647,0,"Control","Sgroup1",4,2081445078,5,6,1,0,60073,64010,65535
2,1,48.592559052147,5235,0,"T01","Sgroup1",4,11286501,0,3,1,0,10922,5297,65535
2,1,187.08776696098408,17459,0,"T01","Sgroup1",4,11286501,1,3,1,0,32767,44759,65535
2,1,224.39061202928082,1331,0,"T01","Sgroup1",4,11286501,2,3,1,0,54612,55387,65535
0,0,39.89132895630518,54653,0,"Control","Sgroup1",5,2081445078,0,6,1,0,5461,4931,65535
0,0,46.381405176967775,1336,0,"Control","Sgroup1",5,2081445078,1,6,1,0,16384,11474,65535
0,0,51.467813749905666,20861,0,"Control","Sgroup1",5,2081445078,2,6,1,0,27306,16603,65535
0,0,70.10791638366915,17464,0,"Control","Sgroup1",5,2081445078,3,6,1,0,38228,35396,65535
0,0,74.1076145196589,50749,0,"Control","Sgroup1",5,2081445078,4,6,1,0,49151,39428,65535
0,0,88.17447739793222,5240,0,"Control","Sgroup1",5,2081445078,5,6,1,0,60073,53611,65535
2,1,37.35567127009282,17465,0,"T01","Sgroup1",5,11286501,0,3,1,0,10922,2375,65535
2,1,67.21002188514075,1337,0,"T01","Sgroup1",5,11286501,1,3,1,0,32767,32474,65535
2,1,93.026941362916,5241,0,"T01","Sgroup1",5,11286501,2,3,1,0,54612,58503,65535
4,2,165.1950796166327,5238,0,"T02","Sgroup1",4,11286501,0,3,1,0,10922,38521,65535
4,2,169.85133197494528,17462,0,"T02","Sgroup1",4,11286501,1,3,1,0,32767,39847,65535
4,2,215.27431891932682,1334,0,"T02","Sgroup1",4,11286501,2,3,1,0,54612,52790,65535
1,3,145.80786355746736,54642,0,"Control","Sgroup2",4,-571668846,0,6,1,0,5461,32997,65535
1,3,148.0642970341861,20850,0,"Control","Sgroup2",4,-571668846,1,6,1,0,16384,33640,65535
1,3,179.0883706890046,1335,0,"Control","Sgroup2",4,-571668846,2,6,1,0,27306,42479,65535
1,3,193.42691117651498,50738,0,"Control","Sgroup2",4,-571668846,3,6,1,0,38228,46565,65535
1,3,198.75481095766355,5239,0,"Control","Sgroup2",4,-571668846,4,6,1,0,49151,48083,65535
1,3,206.30895781450457,17463,0,"Control","Sgroup2",4,-571668846,5,6,1,0,60073,50235,65535
4,2,50.06414610218096,5244,0,"T02","Sgroup1",5,11286501,0,3,1,0,10922,15187,65535
4,2,61.135008678590296,17468,0,"T02","Sgroup1",5,11286501,1,3,1,0,32767,26349,65535
4,2,64.49324579277035,1340,0,"T02","Sgroup1",5,11286501,2,3,1,0,54612,29735,65535
1,3,51.8904233642744,17469,0,"Control","Sgroup2",5,-571668846,0,6,1,0,5461,17029,65535
1,3,57.33152214927175,54648,0,"Control","Sgroup2",5,-571668846,1,6,1,0,16384,22514,65535
1,3,76.14519658893668,50744,0,"Control","Sgroup2",5,-571668846,2,6,1,0,27306,41483,65535
1,3,78.86197268130707,5245,0,"Control","Sgroup2",5,-571668846,3,6,1,0,38228,44222,65535
1,3,79.0883706890046,1341,0,"Control","Sgroup2",5,-571668846,4,6,1,0,49151,44450,65535
1,3,84.18232586219908,20856,0,"Control","Sgroup2",5,-571668846,5,6,1,0,60073,49586,65535
0,0,274.2359067240209,17466,0,"Control","Sgroup1",6,2081445078,0,6,1,0,5461,33245,2259
0,0,303.7280205267527,54655,0,"Control","Sgroup1",6,2081445078,1,6,1,0,16384,36577,2259
0,0,443.83820089049885,20863,0,"Control","Sgroup1",6,2081445078,2,6,1,0,27306,52408,2259
0,0,478.990264885669,5242,0,"Control","Sgroup1",6,2081445078,3,6,1,0,38228,56380,2259
0,0,523.6057656025961,50751,0,"Control","Sgroup1",6,2081445078,4,6,1,0,49151,61421,2259
0,0,547.5360350162252,1338,0,"Control","Sgroup1",6,2081445078,5,6,1,0,60073,64125,2259
2,1,-14.67059089880009,5243,0,"T01","Sgroup1",6,11286501,0,3,1,0,10922,602,2259
2,1,149.94340049807562,1339,0,"T01","Sgroup1",6,11286501,1,3,1,0,32767,19201,2259
2,1,167.84393630669382,17467,0,"T01","Sgroup1",6,11286501,2,3,1,0,54612,21224,2259
0,0,-5.961814202701683,5328,0,"Control","Sgroup1",7,2081445078,0,6,1,0,5461,30097,34694
0,0,-1.9319296656856086,54741,0,"Control","Sgroup1",7,2081445078,1,6,1,0,16384,33204,34694
0,0,4.180816542147762,17552,0,"Control","Sgroup1",7,2081445078,2,6,1,0,27306,37917,34694
0,0,4.263829144970191,50837,0,"Control","Sgroup1",7,2081445078,3,6,1,0,38228,37981,34694
0,0,13.349935853897819,1424,0,"Control","Sgroup1",7,2081445078,4,6,1,0,49151,44987,34694
0,0,35.99728322390763,20949,0,"Control","Sgroup1",7,2081445078,5,6,1,0,60073,62447,34694
2,1,-12.9726058410686,17553,0,"T01","Sgroup1",7,11286501,0,3,1,0,10922,24692,34694
2,1,-6.656101426307448,5329,0,"T01","Sgroup1",7,11286501,1,3,1,0,32767,29562,34694
2,1,-3.916685533167308,1425,0,"T01","Sgroup1",7,11286501,2,3,1,0,54612,31674,34694
4,2,217.9458154101577,1342,0,"T02","Sgroup1",6,11286501,0,3,1,0,10922,26885,2259
4,2,256.75043392951477,17470,0,"T02","Sgroup1",6,11286501,1,3,1,0,32767,31269,2259
4,2,338.29899630216585,5246,0,"T02","Sgroup1",6,11286501,2,3,1,0,54612,40484,2259
1,3,196.1663270696551,54650,0,"Control","Sgroup2",6,-571668846,0,6,1,0,5461,24424,2259
1,3,209.99169873971778,50746,0,"Control","Sgroup2",6,-571668846,1,6,1,0,16384,25986,2259
1,3,278.63557467360954,20858,0,"Control","Sgroup2",6,-571668846,2,6,1,0,27306,33742,2259
1,3,316.90438457474903,5247,0,"Control","Sgroup2",6,-571668846,3,6,1,0,38228,38066,2259
1,3,326.6319523054864,17471,0,"Control","Sgroup2",6,-571668846,4,6,1,0,49151,39165,2259
1,3,332.2919024979247,1343,0,"Control","Sgroup2",6,-571668846,5,6,1,0,60073,39805,2259
4,2,-15.757301335748245,1428,0,"T02","Sgroup1",7,11286501,0,3,1,0,10922,22545,34694
4,2,-13.621613463134857,17556,0,"T02","Sgroup1",7,11286501,1,3,1,0,32767,24192,34694
4,2,17.440193192966568,5332,0,"T02","Sgroup1",7,11286501,2,3,1,0,54612,48140,34694
1,3,-41.0459587955626,17557,0,"Control","Sgroup2",7,-571668846,0,6,1,0,5461,3048,34694
1,3,-29.665685608633314,5333,0,"Control","Sgroup2",7,-571668846,1,6,1,0,16384,11822,34694
1,3,-22.005886348200136,50832,0,"Control","Sgroup2",7,-571668846,2,6,1,0,27306,17728,34694
1,3,-21.51535733152215,1429,0,"Control","Sgroup2",7,-571668846,3,6,1,0,38228,18106,34694
1,3,-10.829371368198625,20944,0,"Control","Sgroup2",7,-571668846,4,6,1,0,49151,26345,34694
1,3,8.105048675571656,54736,0,"Control","Sgroup2",7,-571668846,5,6,1,0,60073,40943,34694
3,4,30.30714663044299,20851,0,"T01","Sgroup2",4,-1197865617,0,3,1,0,10922,87,65535
3,4,121.46253112972605,54643,0,"T01","Sgroup2",4,-1197865617,1,3,1,0,32767,26060,65535
3,4,130.0052826201796,50739,0,"T01","Sgroup2",4,-1197865617,2,3,1,0,54612,28494,65535
5,5,95.82673005810882,50742,0,"T02","Sgroup2",4,-1197865617,0,3,1,0,10922,18756,65535
5,5,105.62221719115539,20854,0,"T02","Sgroup2",4,-1197865617,1,3,1,0,32767,21547,65535
5,5,140.5252433778583,54646,0,"T02","Sgroup2",4,-1197865617,2,3,1,0,54612,31492,65535
3,4,36.261414232888086,54649,0,"T01","Sgroup2",5,-1197865617,0,3,1,0,10922,1271,65535
3,4,57.80695796543657,50745,0,"T01","Sgroup2",5,-1197865617,1,3,1,0,32767,22994,65535
3,4,98.58878575201871,20857,0,"T01","Sgroup2",5,-1197865617,2,3,1,0,54612,64111,65535
5,5,45.3550675420723,50748,0,"T02","Sgroup2",5,-1197865617,0,3,1,0,10922,10440,65535
5,5,49.88302769602294,20860,0,"T02","Sgroup2",5,-1197865617,1,3,1,0,32767,15005,65535
5,5,71.50403743113726,54652,0,"T02","Sgroup2",5,-1197865617,2,3,1,0,54612,36803,65535
3,4,-15.704475133952153,20859,0,"T01","Sgroup2",6,-1197865617,0,3,1,0,10922,485,2259
3,4,24.75284884159686,54651,0,"T01","Sgroup2",6,-1197865617,1,3,1,0,32767,5056,2259
3,4,42.494906044826806,50747,0,"T01","Sgroup2",6,-1197865617,2,3,1,0,54612,7061,2259
5,5,154.6071994566448,54654,0,"T02","Sgroup2",6,-1197865617,0,3,1,0,10922,19728,2259
5,5,169.49664176288582,50750,0,"T02","Sgroup2",6,-1197865617,1,3,1,0,32767,21411,2259
5,5,260.6218398611425,20862,0,"T02","Sgroup2",6,-1197865617,2,3,1,0,54612,31707,2259
3,4,-33.89178175232058,20945,0,"T01","Sgroup2",7,-1197865617,0,3,1,0,10922,8564,34694
3,4,-8.263527280959927,54737,0,"T01","Sgroup2",7,-1197865617,1,3,1,0,32767,28323,34694
3,4,-7.803184665308279,50833,0,"T01","Sgroup2",7,-1197865617,2,3,1,0,54612,28678,34694
5,5,-19.689080069428723,54740,0,"T02","Sgroup2",7,-1197865617,0,3,1,0,10922,19514,34694
5,5,-19.319296656856086,20948,0,"T02","Sgroup2",7,-1197865617,1,3,1,0,32767,19799,34694
5,5,-2.2639800769753227,50836,0,"T02","Sgroup2",7,-1197865617,2,3,1,0,54612,32948,34694
0,0,329.79397781299525,54743,0,"Control","Sgroup1",8,2081445078,0,6,1,0,5461,33913,65535
0,0,332.22398309561544,17554,0,"Control","Sgroup1",8,2081445078,1,6,1,0,16384,34197,65535
0,0,409.65964832842803,1426,0,"Control","Sgroup1",8,2081445078,2,6,1,0,27306,43259,65535
0,0,487.68394838125425,20951,0,"Control","Sgroup1",8,2081445078,3,6,1,0,38228,52390,65535
0,0,501.4414006490076,5330,0,"Control","Sgroup1",8,2081445078,4,6,1,0,49151,54000,65535
0,0,582.0541845898423,50839,0,"Control","Sgroup1",8,2081445078,5,6,1,0,60073,63433,65535
2,1,138.48766130858047,5331,0,"T01","Sgroup1",8,11286501,0,3,1,0,10922,11525,65535
2,1,235.47656780620332,1427,0,"T01","Sgroup1",8,11286501,1,3,1,0,32767,22875,65535
2,1,238.88008452192287,17555,0,"T01","Sgroup1",8,11286501,2,3,1,0,54612,23273,65535
0,0,5738.81882497693,54751,0,"Control","Sgroup1",9,2081445078,0,6,1,0,5461,41787,0
0,0,5954.04490925869,17562,0,"Control","Sgroup1",9,2081445078,1,6,1,0,16384,43354,0
0,0,8500.39946737683,1434,0,"Control","Sgroup1",9,2081445078,2,6,1,0,27306,61896,0
0,0,8508.655126498003,20959,0,"Control","Sgroup1",9,2081445078,3,6,1,0,38228,61956,0
0,0,8790.412782956058,50847,0,"Control","Sgroup1",9,2081445078,4,6,1,0,49151,64007,0
0,0,8883.355525965379,5338,0,"Control","Sgroup1",9,2081445078,5,6,1,0,60073,64684,0
2,1,419.6211606671195,5339,0,"T01","Sgroup1",9,11286501,0,3,1,0,10922,3055,0
2,1,5181.974776991695,1435,0,"T01","Sgroup1",9,11286501,1,3,1,0,32767,37732,0
2,1,5266.164257151646,17563,0,"T01","Sgroup1",9,11286501,2,3,1,0,54612,38345,0
4,2,263.80650516942114,17558,0,"T02","Sgroup1",8,11286501,0,3,1,0,10922,26190,65535
4,2,283.35974643423134,5334,0,"T02","Sgroup1",8,11286501,1,3,1,0,32767,28479,65535
4,2,294.15138480114706,1430,0,"T02","Sgroup1",8,11286501,2,3,1,0,54612,29742,65535
1,3,267.27794128745,1431,0,"Control","Sgroup2",8,-571668846,0,6,1,0,5461,26597,65535
1,3,272.4926420647498,50834,0,"Control","Sgroup2",8,-571668846,1,6,1,0,16384,27207,65535
1,3,289.0121500264131,54738,0,"Control","Sgroup2",8,-571668846,2,6,1,0,27306,29140,65535
1,3,290.7554146856841,5335,0,"Control","Sgroup2",8,-571668846,3,6,1,0,38228,29344,65535
1,3,335.31808920081505,20946,0,"Control","Sgroup2",8,-571668846,4,6,1,0,49151,34559,65535
1,3,352.5545241868538,17559,0,"Control","Sgroup2",8,-571668846,5,6,1,0,60073,36576,65535
4,2,5206.4287911411875,1438,0,"T02","Sgroup1",9,11286501,0,3,1,0,10922,37910,0
4,2,5693.325130729007,17566,0,"T02","Sgroup1",9,11286501,1,3,1,0,32767,41456,0
4,2,5776.776376499539,5342,0,"T02","Sgroup1",9,11286501,2,3,1,0,54612,42063,0
1,3,4680.77514610889,1439,0,"Control","Sgroup2",9,-571668846,0,6,1,0,5461,34083,0
1,3,5479.083358966473,54746,0,"Control","Sgroup2",9,-571668846,1,6,1,0,16384,39896,0
1,3,5688.434327899108,50842,0,"Control","Sgroup2",9,-571668846,2,6,1,0,27306,41420,0
1,3,6454.993342210386,5343,0,"Control","Sgroup2",9,-571668846,3,6,1,0,38228,47002,0
1,3,7210.252996005326,17567,0,"Control","Sgroup2",9,-571668846,4,6,1,0,49151,52501,0
1,3,8502.929427430094,20954,0,"Control","Sgroup2",9,-571668846,5,6,1,0,60073,61914,0
0,0,81.76741378009207,17584,0,"Control","Sgroup1",10,2081445078,0,6,1,0,5461,37999,12482
0,0,89.40457323975549,54773,0,"Control","Sgroup1",10,2081445078,1,6,1,0,16384,40382,12482
0,0,147.1888914044223,20981,0,"Control","Sgroup1",10,2081445078,2,6,1,0,27306,58415,12482
0,0,148.00392423213341,1456,0,"Control","Sgroup1",10,2081445078,3,6,1,0,38228,58669,12482
0,0,158.8634820013584,50869,0,"Control","Sgroup1",10,2081445078,4,6,1,0,49151,62058,12482
0,0,167.0892762810354,5360,0,"Control","Sgroup1",10,2081445078,5,6,1,0,60073,64625,12482
2,1,-38.26880990113954,5361,0,"T01","Sgroup1",10,11286501,0,3,1,0,10922,540,12482
2,1,0.14338540487510376,17585,0,"T01","Sgroup1",10,11286501,1,3,1,0,32767,12527,12482
2,1,20.19470228661988,1457,0,"T01","Sgroup1",10,11286501,2,3,1,0,54612,18784,12482
0,0,260.3124292506226,17586,0,"Control","Sgroup1",11,2081445078,0,6,1,0,5461,35540,0
0,0,269.7003999698136,54775,0,"Control","Sgroup1",11,2081445078,1,6,1,0,16384,36821,0
0,0,281.20896536110484,1458,0,"Control","Sgroup1",11,2081445078,2,6,1,0,27306,38393,0
0,0,340.0649007622066,5362,0,"Control","Sgroup1",11,2081445078,3,6,1,0,38228,46428,0
0,0,359.95773903856315,50871,0,"Control","Sgroup1",11,2081445078,4,6,1,0,49151,49144,0
0,0,461.285940683722,20983,0,"Control","Sgroup1",11,2081445078,5,6,1,0,60073,62978,0
2,1,16.564787563202778,5363,0,"T01","Sgroup1",11,11286501,0,3,1,0,10922,2261,0
2,1,200.671647422836,17587,0,"T01","Sgroup1",11,11286501,1,3,1,0,32767,27397,0
2,1,216.4591351596106,1459,0,"T01","Sgroup1",11,11286501,2,3,1,0,54612,29552,0
4,2,61.55007169270243,17588,0,"T02","Sgroup1",10,11286501,0,3,1,0,10922,31690,12482
4,2,65.54976982869218,1460,0,"T02","Sgroup1",10,11286501,1,3,1,0,32767,32938,12482
4,2,66.74967926948909,5364,0,"T02","Sgroup1",10,11286501,2,3,1,0,54612,33313,12482
1,3,39.35552033808769,54768,0,"Control","Sgroup2",10,-571668846,0,6,1,0,5461,24764,12482
1,3,49.95849369858878,1461,0,"Control","Sgroup2",10,-571668846,1,6,1,0,16384,28073,12482
1,3,50.305637310391674,17589,0,"Control","Sgroup2",10,-571668846,2,6,1,0,27306,28181,12482
1,3,61.85193570296581,50864,0,"Control","Sgroup2",10,-571668846,3,6,1,0,38228,31784,12482
1,3,67.66281790053581,5365,0,"Control","Sgroup2",10,-571668846,4,6,1,0,49151,33597,12482
1,3,115.8855935401102,20976,0,"Control","Sgroup2",10,-571668846,5,6,1,0,60073,48646,12482
4,2,216.52705456191987,1462,0,"T02","Sgroup1",11,11286501,0,3,1,0,10922,29562,0
4,2,221.28895932382463,5366,0,"T02","Sgroup1",11,11286501,1,3,1,0,32767,30212,0
4,2,255.22602067768472,17590,0,"T02","Sgroup1",11,11286501,2,3,1,0,54612,34845,0
1,3,197.01154629839257,54770,0,"Control","Sgroup2",11,-571668846,0,6,1,0,5461,26897,0
1,3,207.8937438683873,50866,0,"Control","Sgroup2",11,-571668846,1,6,1,0,16384,28383,0
1,3,219.80227907327748,1463,0,"Control","Sgroup2",11,-571668846,2,6,1,0,27306,30009,0
1,3,282.49943400498074,5367,0,"Control","Sgroup2",11,-571668846,3,6,1,0,38228,38569,0
1,3,286.33310693532565,20978,0,"Control","Sgroup2",11,-571668846,4,6,1,0,49151,39092,0
1,3,339.4083465398838,17591,0,"Control","Sgroup2",11,-571668846,5,6,1,0,60073,46339,0
3,4,45.16640253565768,20947,0,"T01","Sgroup2",8,-1197865617,0,3,1,0,10922,604,65535
